Social_media,Prices,Specialitys,Symptoms_treated,behavioralhealthQuestions,behavioralhealthAnswers,DermatologyQuestions,DermatologyAnswers,DermatologyAnswerlinks,Questions,Answers,AnswersLink,Titles,Date,BlogLink,Contactfor,Contacts
,,,,,,What payment options are accepted?,"MDLIVE accepts most major credit cards, debit cards, and HSA/FSA.",https://www.mdlive.com/dermatology/#1529609749048-25ed7968-8b50,Antibiotics: Everything You Wanted to Know But Were Afraid to Ask,"SUMMARYLike all medications, antibiotics have both benefits and risks. Used for the right reason they are lifesavers, but if used incorrectly, they can cause a variety of problems from allergic reactions to side effects. Additionally, inappropriate use of antibiotics can lead to “antibiotic resistance”, which means the antibiotics might not work for you when you really need it! Read more below to become an expert on this subject:When to use antibiotics: Your MDLIVE provider has many years of education and experience they use to help decide if your problem requires an antibiotic. If they think you have a BACTERIAL infection, then they will likely prescribe an antibiotic, but if they think you have a VIRAL infection, they will avoid giving you an antibiotic since it will not help and may actually cause some harm. In an otherwise healthy individual, most upper respiratory infections (e.g. sinusitis, ear infections) start as a VIRAL illness, and only occasionally develop into BACTERIAL infections after 1-2 weeks.Can MDLIVE help with VIRAL Infections? Absolutely! When you present with symptoms for under a week, your physician will assess your full story and may treat you with decongestants and various anti-inflammatories, but will avoid giving you an antibiotic in this viral phase since it does not help and may cause problems. However, if you have more severe symptoms, then your physician will use their best judgment in deciding if you have developed an early bacterial infection and thus antibiotics would help.Overuse of antibiotics may make them less effective in the future. “Antibiotic resistance” means that antibiotics are becoming less effective overall in the United States as we have overused them for many years. Additionally, no new types of antibiotics has been developed within the last 10 years, so we have to be careful with what we have! In other words, not using an antibiotic today may mean that you (and others) may respond better to antibiotics when you really need them in the future.Antibiotics can sometimes do more harm than good. Antibiotic side effects may include gastrointestinal upset, diarrhea, vaginal yeast infections, and decreased effectiveness of oral birth control. Even worse, you may develop an allergic reaction that can range from a mild rash to severe life-threatening breathing difficulties and anaphylactic shock. Finally, an increasingly common risk is developing a severe form of diarrhea (called C. Dificile) which occurs when the “good bacteria” in your gut is killed off by an antibiotic, allowing this “bad bacteria” to grow.A doctor often spends more time with patients when they do NOT need an antibiotic. The decision about whether to use an antibiotic is not taken lightly. When your physician decides to NOT use an antibiotic, that often means they have taken more time to consider the best option for you. Your physician has considered the risks and benefits of treatment and asked the appropriate questions to arrive at the best course of action. Further, there is increasing evidence in the medical community that it is a good idea to take a “wait and see” attitude towards antibiotic usage due to increasing resistance and side effects, especially in children. Conditions such as ear infections, sore throat, sinus infection, and cough can often be managed with a variety of other medications instead.",https://www.mdlive.com/patients/faqs/#1575901294077-ad1b5355-29c2,Healthcare anywhere – MDLIVE member stories,"November 19, 2019",https://www.mdlive.com/healthcare_anywhere-member_stories/,,
,,,,,,Will primary care providers be notified of visits?,"Patients can choose to share the visit notes with a primary care provider. If you choose to share your notes, your dermatologist will secure fax or electronically transmit your notes to your Primary Care physician.",https://www.mdlive.com/dermatology/#1515598798835-a1d6ea7c-5399,Is MDLIVE safe and private?,Confidentiality is a respected part of MDLIVE’s Code of Ethics. We take your privacy very seriously. Laws are also in place to protect your privacy. The HIPAA Privacy Rule is designed to be a minimum level of protection. Some states have even stricter laws in place to protect your personal health information. MDLIVE can share your information with your PCP in accordance with applicable state and federal laws.,https://www.mdlive.com/patients/faqs/#1529609749048-25ed7968-8b50,A Note from Dr. Berkowitz: 2019 Flu Season,"October 11, 2019",https://www.mdlive.com/note-from-dr-berkowitz_2019-flu-season/,,
,,,,,,Is my information safe and private?,"Yes, we take patient safety and privacy very seriously. Teledermatology adheres to the national patient information security standards found in both HIPAA and HITECH regulations, including sharing information with any accepted insurance providers. Patient photos, personal and medical information, video chats, and diagnoses are never made public.",https://www.mdlive.com/dermatology/#1515598854096-b7643636-1df3,What system requirements do I need for MDLIVE videoconferencing?,"To use video conferencing you need:Windows®7, Vista, or XPA Mac running OSX 10.6 (Snow Leopard) or superior.Highspeed internet connectionA webcam with at least 1.3 megapixelsMicrophone (most webcams already have microphone built in)After you set up an account, you will be able to use a simple online simulation to test your configuration and check if you are ready for a virtual consultation.",https://www.mdlive.com/patients/faqs/#1515598798835-a1d6ea7c-5399,Exercise good mental health all year round,"October 10, 2019",https://www.mdlive.com/good-mental-health/,,
,,,,,,What do I do if I have a question?,"We have highly trained health service specialists standing by to take your call, 24/7! Call us at 1-800-400-MDLIVE.",https://www.mdlive.com/dermatology/#1515598891761-8aac6dae-8072,Can hearing impaired patients use MDLIVE?,"Yes. Hearing impaired patients can communicate with a doctor using our secure, HIPAA-compliant live chat feature that is available on our website. Patients can communicate with their doctor in an environment that works much like texting. To activate this feature, select “hearing-impaired” and any other categories that apply to you from the accommodations menu, and complete the online registration process. The feature is automatically available each time you login by clicking the icon located at the bottom right-hand side of the screen. At present, live chat only available on the MDLIVE website and not on the MDLIVE app.",https://www.mdlive.com/patients/faqs/#1515598854096-b7643636-1df3,How to Evaluate Inner Ear Pain,"August 13, 2019",https://www.mdlive.com/earache-relief/,,
,,,,,,,,,I have a question that isn’t listed here. Can you help me?,"Don’t see your question? Don’t worry. Just call us at 1-888-632-2738. We have highly trained health service specialists standing by to take your call, 24/7/365.",https://www.mdlive.com/patients/faqs/#1515598891761-8aac6dae-8072,Tips for dads juggling parenting and professional responsibilities,"July 8, 2019",https://www.mdlive.com/tips-for-dads-juggling-parenting-and-professional-responsibilities/,,
,,,,,,,,,How do I register a new account?,The fastest way to register a new account with MDLIVE is to click JOIN NOW located on the top right of the navigation bar.Go to MDLIVE’s Home pageClick on “Join Now.”Fill in your details to complete registrationJoin Now,https://www.mdlive.com/patients/faqs/#1515597739842-68e6f7ae-2b26,Skin cancer awareness & what you need to know,"May 8, 2019",https://www.mdlive.com/skin-cancer-awareness/,,
,,,,,,,,,How do I add dependents to my account,"Go to MDLIVE’S Home Page.Log in to Primary account holder’s MDLIVE account.Select your name in the upper right corner of the MDLIVE web page.Select “Add New Dependent” from the drop down menu.Complete new member form. Be sure to double check spelling and contact information for the account and select “Add Family Member”. ** You will receive an email confirmation upon completion of registration for every member added to the account. All members on the account must have their own account, including children.",https://www.mdlive.com/patients/faqs/#1515597739894-062f5369-826b,Don’t let sore throat pain ruin your day,"May 7, 2019",https://www.mdlive.com/sore-throat-pain-relief/,,
,,,,,,,,,How do I reset my password?,"Go to MDLIVE’S Home Page.Click on “Sign In”.Click “Forgot Username or Password”.On left hand side, under “Forgot Password”, enter Username or Email Address and click “Send”.A link will be send to email address on File. Please check your email and click on the link to reset your password.Forgot Username or Password",https://www.mdlive.com/patients/faqs/#1515598734197-fa4fa412-9cc8,Mental Illness is more common than you think. Know the signs. And get the help.,"April 25, 2019",https://www.mdlive.com/mental-illness-is-more-common/,,
,,,,,,,,,How do I unlock my account?,Please contact our Customer Service line at 888-632-2738 and speak with a Health Service Specialist to unlock your account.,https://www.mdlive.com/patients/faqs/#1515598798835-a1d6ea7c-5399,Country Living Just Got Easier with Telehealth,"April 2, 2019",https://www.mdlive.com/country-living-just-got-easier-with-telehealth/,,
,,,,,,,,,I have not received a call from my provider.,Please contact our Customer Service line at 888-632-2738 and speak with a Health Service Specialist. They will assist in providing a status update regarding your scheduled consult.,https://www.mdlive.com/patients/faqs/#1515598854096-b7643636-1df3,Plan your defense for the 2019 Allergy Season,"March 27, 2019",https://www.mdlive.com/plan-your-defense-for-the-2019-allergy-season/,,
,,,,,,,,,How do I request a refund?,Please contact our customer service line at 888-632-2738 and speak with a Health Service Specialist to request a refund.,https://www.mdlive.com/patients/faqs/#1515598891761-8aac6dae-8072,MDLIVE Chief Medical Officer Explains Common Skin Allergies,"March 22, 2019",https://www.mdlive.com/mdlive-chief-medical-officer-explains/,,
,,,,,,,,,,,,Get Ready For Warmer Weather By Visiting An Online Dermatologist,"February 20, 2019",https://www.mdlive.com/get-ready-for-warmer-weather-by-visiting-an-online-dermatologist/,,
,,,,,,,,,,,,"MDLIVE, Leaders in Telehealth, are Celebrating “Share the Love”","February 14, 2019",https://www.mdlive.com/mdlive-celebrates-share-the-love/,,
,,,,,,,,,,,,Winter Storm Tips to Stay Safe,"February 11, 2019",https://www.mdlive.com/winter-storm-tips-to-stay-safe/,,
,,,,,,,,,,,,5 ways resolutions can improve your mental health,"February 4, 2019",https://www.mdlive.com/5-ways-resolutions-can-improve-your-mental-health/,,
,,,,,,,,,,,,Cold or flu? Watch our video to learn the difference,"January 2, 2019",https://www.mdlive.com/video-cold-or-flu/,,
,,,,,,,,,,,,Telehealth helps you get back to the life you love,"November 21, 2018",https://www.mdlive.com/telehealth-online-doctors-life-awaits/,,
,,,,,,,,,,,,Online doctor visits are making waiting rooms obsolete,"November 9, 2018",https://www.mdlive.com/telehealth-visits-are-making-waiting-rooms-obsolete/,,
,,,,,,,,,,,,Adults: You never outgrow the need for vaccinations,"July 24, 2018",https://www.mdlive.com/vaccinations-adults/,,
,,,,,,,,,,,,Mosquito backup,"June 15, 2018",https://www.mdlive.com/mosquito-backup/,,
,,,,,,,,,,,,Make Dad’s summer a blast! 5 fireworks safety tips every dad should follow,"June 13, 2018",https://www.mdlive.com/5-fireworks-safety-tips/,,
,,,,,,,,,,,,Hope after the storm: Online therapy helped me live again after PTSD,"June 5, 2018",https://www.mdlive.com/help-hope-ptsd-online-therapy/,,
,,,,,,,,,,,,"How telehealth helped my son, and 5 ways it can help you, too","May 30, 2018",https://www.mdlive.com/telehealth-helped-son/,,
,,,,,,,,,,,,7 Things moms need to know about sun safety and skin cancer,"May 11, 2018",https://www.mdlive.com/sun-safety-skin-cancer/,,
,,,,,,,,,,,,More than just a red face: 7 signs of rosacea,"May 3, 2018",https://www.mdlive.com/7-signs-rosacea/,,
,,,,,,,,,,,,The best & worst ways to manage stress,"April 20, 2018",https://www.mdlive.com/best-worst-ways-manage-stress/,,
,,,,,,,,,,,,5 Surprising ways to ease your sneezing,"March 21, 2018",https://www.mdlive.com/seasonal-allergies-relief/,,
,,,,,,,,,,,,5 Keys to a healthy relationship,"February 2, 2018",https://www.mdlive.com/5-keys-healthy-relationship/,,
,,,,,,,,,,,,"50 Simple habits for a happier, healthier life","January 24, 2018",https://www.mdlive.com/50-simple-habits-happier-healthier-life/,,
,,,,,,,,,,,,Feeling SAD? 5 Warning signs of Seasonal Affective Disorder – and what to do,"January 11, 2018",https://www.mdlive.com/risk-seasonal-affective-disorder/,,
,,,,,,,,,,,,Reboot your skin for the new year with these 6 habits,"January 10, 2018",https://www.mdlive.com/reboot-skincare-new-year/,,
,,,,,,,,,,,,Easy-to-keep resolutions for better health in 2018,"January 3, 2018",https://www.mdlive.com/easy-to-keep-resolutions-2018/,,
,,,,,,,,,,,,How to beat those holiday blues,"December 21, 2017",https://www.mdlive.com/beat-holiday-blues/,,
,,,,,,,,,,,,Real hope (and help) for acne scars,"November 15, 2017",https://www.mdlive.com/real-hope-acne-scars/,,
,,,,,,,,,,,,Top 3 reasons to get some beauty sleep,"November 15, 2017",https://www.mdlive.com/top-3-reasons-beauty-sleep/,,
,,,,,,,,,,,,5 Signs that stress is making you sick – and what to do about it,"November 10, 2017",https://www.mdlive.com/5-signs-stress-is-making-you-sick/,,
,,,,,,,,,,,,7 Ways to winterize your skin and glow all season long,"November 10, 2017",https://www.mdlive.com/7-ways-to-winterize-your-skin/,,
,,,,,,,,,,,,5 Easy ways to feel better every day,"October 31, 2017",https://www.mdlive.com/5-easy-ways-to-feel-better-every-day/,,
,,,,,,,,,,,,The wait is over! MDLIVE brings the dermatologist to you.,"October 31, 2017",https://www.mdlive.com/mdlive-brings-the-dermatologist-to-you/,,
,,,,,,,,,,,,"Feel better, Pumpkin!","October 25, 2017",https://www.mdlive.com/feel-better-pumpkin/,,
,,,,,,,,,,,,Nothing to sneeze at: 12 questions and answers about cold and flu,"October 10, 2017",https://www.mdlive.com/cold-and-flu-questions-answers/,,
,,,,,,,,,,,,"When the hurricane passes, health risks stick around","September 25, 2017",https://www.mdlive.com/hurricane-treatments/,,
,,,,,,,,,,,,The dirt on back-to-school germs,"August 28, 2017",https://www.mdlive.com/back-to-school/,,
,,,,,,,,,,,,New law makes MDLIVE available to Arkansans,"August 7, 2017",https://www.mdlive.com/mdlive-in-arkansas/,,
,,,,,,,,,,,,Use MDLIVE® on Vacation,"June 20, 2017",https://www.mdlive.com/mdliveonvacation/,,
,,,,,,,,,,,,Next Stop: Texas,"June 17, 2017",https://www.mdlive.com/texas-legislation-allows-video-telehealth/,,
,,,,,,,,,,,,Feel Better Faster with MDLIVE®.,"May 10, 2017",https://www.mdlive.com/feel-better/,,
,,,,,,,,,,,,Itching for allergy relief? MDLIVE® is always available.,"April 20, 2017",https://www.mdlive.com/itch17/,,
,,,,,,,,,,,,The Best Patient Experience.,"March 22, 2017",https://www.mdlive.com/mdliveapp/,,
,,,,,,,,,,,,"See a doctor in minutes, and keep your daily schedule on track.","February 16, 2017",https://www.mdlive.com/dr-in-min-2017/,,
,,,,,,,,,,,,Make MDLIVE® part of your healthy lifestyle plan for 2017.,"January 18, 2017",https://www.mdlive.com/healthy-lifestyle-2017/,,
,,,,,,,,,,,,MDLIVE® Helps You Keep Your Family And Friends Together For The Holidays.,"December 15, 2016",https://www.mdlive.com/holidays/,,
,,,,,,,,,,,,"Are you putting yourself, or others, at risk for catching the flu?","November 22, 2016",https://www.mdlive.com/are-you-putting-yourself-or-others-at-risk-for-catching-the-flu/,,
,,,,,,,,,,,,Your doctors aren’t available after sunset. Our doctors are!,"October 17, 2016",https://www.mdlive.com/halloween-2016/,,
,,,,,,,,,,,,The phone has evolved… so has the way you see a doctor.,"October 12, 2016",https://www.mdlive.com/evolution/,,
,,,,,,,,,,,,"See a doctor, without missing a snap!","September 15, 2016",https://www.mdlive.com/football/,,
,,,,,,,,,,,,Homework isn’t the only thing she’ll be bringing home.,"August 11, 2016",https://www.mdlive.com/back2school/,,
,,,,,,,,,,,,You wouldn’t go to a flower shop for a football…  So why go to an ER for a non-emergency?,"July 6, 2016",https://www.mdlive.com/er-diversion/,,
,,,,,,,,,,,,Sick of arguing? Learn useful tips for improving your relationship…,"June 9, 2016",https://www.mdlive.com/communication-couples-therapy/,,
,,,,,,,,,,,,Take your doctor on your next vacation,"May 26, 2016",https://www.mdlive.com/summer-fun/,,
,,,,,,,,,,,,How to keep your kids from getting pink eye…,"May 18, 2016",https://www.mdlive.com/pink-eye-prevention/,,
,,,,,,,,,,,,4 things women need to know about UTIs.,"May 12, 2016",https://www.mdlive.com/4-things-urinary-tract-infections/,,
,,,,,,,,,,,,When should you see a doctor for your allergies?,"May 4, 2016",https://www.mdlive.com/doctor-for-allergies/,,
,,,,,,,,,,,,5 Steps to Managing Your Stress Level,"April 7, 2016",https://www.mdlive.com/5-steps-managing-stress/,,
,,,,,,,,,,,,8 Signs You Have a Sinus Infection,"March 26, 2016",https://www.mdlive.com/8-signs-sinus-infection/,,
,,,,,,,,,,,,Mosquito Diseases & How to Keep Your Family Safe,"March 14, 2016",https://www.mdlive.com/mosquito-borne-illnesses/,,
,,,,,,,,,,,,Do I Have a Cold or the Flu?,"February 26, 2016",https://www.mdlive.com/cold-vs-flu/,,
